ID_GEO;ID_LOCALIDADE;NOME;RS;RRAS
116;351010;CANDIDO RODRIGUES;NOROESTE DRS III;RRAS18
117;351015;CANITAR;OURINHOS;RRAS10
118;351020;CAPAO BONITO;ITAPETININGA;RRAS08
119;351030;CAPELA DO ALTO;SOROCABA;RRAS08
120;351040;CAPIVARI;PIRACICABA;RRAS14
121;351050;CARAGUATATUBA;LITORAL NORTE;RRAS17
122;351060;CARAPICUIBA;ROTA DOS BANDEIRANTES;RRAS05
123;351070;CARDOSO;VOTUPORANGA;RRAS12
124;351080;CASA BRANCA;RIO PARDO;RRAS15
125;351090;CASSIA DOS COQUEIROS;VALE DAS CACHOEIRAS;RRAS13
126;351100;CASTILHO;LAGOS DO DRS II;RRAS19
127;351110;CATANDUVA;CATANDUVA;RRAS12
128;351120;CATIGUA;CATANDUVA;RRAS12
129;351130;CEDRAL;SAO JOSE DO RIO PRETO;RRAS12
130;351140;CERQUEIRA CESAR;VALE DO JURUMIRIM;RRAS09
131;351150;CERQUILHO;ITAPETININGA;RRAS08
132;351160;CESARIO LANGE;ITAPETININGA;RRAS08
133;351170;CHARQUEADA;PIRACICABA;RRAS14
134;351190;CLEMENTINA;CONSORCIOS DO DRS II;RRAS19
135;351200;COLINA;NORTE BARRETOS;RRAS13
136;351210;COLOMBIA;NORTE BARRETOS;RRAS13
137;351220;CONCHAL;ARARAS;RRAS14
138;351230;CONCHAS;POLO CUESTA;RRAS09
139;351240;CORDEIROPOLIS;LIMEIRA;RRAS14
140;351250;COROADOS;CONSORCIOS DO DRS II;RRAS19
141;351260;CORONEL MACEDO;VALE DO JURUMIRIM;RRAS09
142;351270;CORUMBATAI;RIO CLARO;RRAS14
143;351280;COSMOPOLIS;REG METRO CAMPINAS;RRAS15
144;351290;COSMORAMA;VOTUPORANGA;RRAS12
145;351300;COTIA;MANANCIAIS;RRAS04
146;351310;CRAVINHOS;AQUIFERO GUARANI;RRAS13
147;351320;CRISTAIS PAULISTA;TRES COLINAS;RRAS13
148;351330;CRUZALIA;ASSIS;RRAS10
149;351340;CRUZEIRO;CIRCUITO DA FE VALE HISTORICO;RRAS17
150;351350;CUBATAO;BAIXADA SANTISTA;RRAS07
151;351360;CUNHA;CIRCUITO DA FE VALE HISTORICO;RRAS17
152;351370;DESCALVADO;CORACAO DO DRS III;RRAS18
153;351380;DIADEMA;GRANDE ABC;RRAS01
154;351385;DIRCE REIS;JALES;RRAS12
155;351390;DIVINOLANDIA;RIO PARDO;RRAS15
156;351400;DOBRADA;NOROESTE DRS III;RRAS18
157;351410;DOIS CORREGOS;JAU;RRAS09
158;351420;DOLCINOPOLIS;JALES;RRAS12
159;351430;DOURADO;CORACAO DO DRS III;RRAS18
160;351440;DRACENA;ALTA PAULISTA;RRAS11
161;351450;DUARTINA;BAURU;RRAS09
162;351460;DUMONT;HORIZONTE VERDE;RRAS13
163;351470;ECHAPORA;MARILIA;RRAS10
164;351480;ELDORADO;VALE DO RIBEIRA;RRAS07
165;351490;ELIAS FAUSTO;PIRACICABA;RRAS14
166;351492;ELISIARIO;CATANDUVA;RRAS12
167;351495;EMBAUBA;CATANDUVA;RRAS12
168;351500;EMBU DAS ARTES;MANANCIAIS;RRAS04
169;351510;EMBU GUACU;MANANCIAIS;RRAS04
170;351512;EMILIANOPOLIS;ALTA SOROCABANA;RRAS11
171;351515;ENGENHEIRO COELHO;LIMEIRA;RRAS14
172;351518;ESPIRITO SANTO DO PINHAL;MANTIQUEIRA;RRAS15
173;351519;ESPIRITO SANTO DO TURVO;OURINHOS;RRAS10
174;351520;ESTRELA DOESTE;FERNANDOPOLIS;RRAS12
175;351530;ESTRELA DO NORTE;ALTA SOROCABANA;RRAS11
176;351535;EUCLIDES DA CUNHA PAULISTA;PONTAL DO PARANAPANEMA;RRAS11
177;351540;FARTURA;VALE DO JURUMIRIM;RRAS09
178;351550;FERNANDOPOLIS;FERNANDOPOLIS;RRAS12
179;351560;FERNANDO PRESTES;CATANDUVA;RRAS12
180;351565;FERNAO;MARILIA;RRAS10
181;351570;FERRAZ DE VASCONCELOS;ALTO DO TIETE;RRAS02
182;351580;FLORA RICA;ALTA PAULISTA;RRAS11
183;351590;FLOREAL;VOTUPORANGA;RRAS12
184;351600;FLORIDA PAULISTA;ADAMANTINA ;RRAS10
185;351610;FLORINEA;ASSIS;RRAS10
186;351620;FRANCA;TRES COLINAS;RRAS13
187;351630;FRANCISCO MORATO;FRANCO DA ROCHA;RRAS03
188;351640;FRANCO DA ROCHA;FRANCO DA ROCHA;RRAS03
189;351650;GABRIEL MONTEIRO;CONSORCIOS DO DRS II;RRAS19
190;351660;GALIA;MARILIA;RRAS10
191;351670;GARCA;MARILIA;RRAS10
192;351680;GASTAO VIDIGAL;VOTUPORANGA;RRAS12
193;351685;GAVIAO PEIXOTO;CENTRAL DO DRS III;RRAS18
194;351690;GENERAL SALGADO;VOTUPORANGA;RRAS12
195;351700;GETULINA;LINS;RRAS09
196;351710;GLICERIO;CONSORCIOS DO DRS II;RRAS19
197;351720;GUAICARA;LINS;RRAS09
198;351730;GUAIMBE;MARILIA;RRAS10
199;351740;GUAIRA;NORTE BARRETOS;RRAS13
200;351750;GUAPIACU;SAO JOSE DO RIO PRETO;RRAS12
201;351760;GUAPIARA;ITAPEVA;RRAS08
202;351770;GUARA;ALTA MOGIANA;RRAS13
203;351780;GUARACAI;LAGOS DO DRS II;RRAS19
204;351790;GUARACI;NORTE BARRETOS;RRAS13
205;351800;GUARANI DOESTE;FERNANDOPOLIS;RRAS12
206;351810;GUARANTA;MARILIA;RRAS10
207;351820;GUARARAPES;CENTRAL DO DRS II;RRAS19
208;351830;GUARAREMA;ALTO DO TIETE;RRAS02
209;351840;GUARATINGUETA;CIRCUITO DA FE VALE HISTORICO;RRAS17
210;351850;GUAREI;ITAPETININGA;RRAS08
211;351860;GUARIBA;HORIZONTE VERDE;RRAS13
212;351870;GUARUJA;BAIXADA SANTISTA;RRAS07
213;351880;GUARULHOS;ALTO DO TIETE;RRAS02
214;351885;GUATAPARA;AQUIFERO GUARANI;RRAS13
215;351890;GUZOLANDIA;CENTRAL DO DRS II;RRAS19
216;351900;HERCULANDIA;TUPA;RRAS10
217;351905;HOLAMBRA;REG METRO CAMPINAS;RRAS15
218;351907;HORTOLANDIA;REG METRO CAMPINAS;RRAS15
219;351910;IACANGA;BAURU;RRAS09
220;351920;IACRI;TUPA;RRAS10
221;351925;IARAS;VALE DO JURUMIRIM;RRAS09
222;351930;IBATE;CORACAO DO DRS III;RRAS18
223;351940;IBIRA;SAO JOSE DO RIO PRETO;RRAS12
224;351950;IBIRAREMA;OURINHOS;RRAS10
225;351960;IBITINGA;NOROESTE DRS III;RRAS18
226;351970;IBIUNA;SOROCABA;RRAS08
227;351980;ICEM;SAO JOSE DO RIO PRETO;RRAS12
228;351990;IEPE;ALTO CAPIVARI;RRAS11
229;352000;IGARACU DO TIETE;JAU;RRAS09
230;352010;IGARAPAVA;ALTA MOGIANA;RRAS13
231;352020;IGARATA;ALTO VALE DO PARAIBA;RRAS17
232;352030;IGUAPE;VALE DO RIBEIRA;RRAS07
233;352040;ILHABELA;LITORAL NORTE;RRAS17
234;352042;ILHA COMPRIDA;VALE DO RIBEIRA;RRAS07
235;352044;ILHA SOLTEIRA;LAGOS DO DRS II;RRAS19
236;352050;INDAIATUBA;REG METRO CAMPINAS;RRAS15
237;352060;INDIANA;ALTA SOROCABANA;RRAS11
238;352070;INDIAPORA;FERNANDOPOLIS;RRAS12
239;352080;INUBIA PAULISTA;ADAMANTINA ;RRAS10
240;352090;IPAUSSU;OURINHOS;RRAS10
241;352100;IPERO;SOROCABA;RRAS08
242;352110;IPEUNA;RIO CLARO;RRAS14
243;352115;IPIGUA;SAO JOSE DO RIO PRETO;RRAS12
