"NIVEL_GEOGRAFICO";"ID_LOCALIDADE";"NOME";"ID_GEO"
"Município";"353830";"PIQUEROBI";431
"Município";"353850";"PIQUETE";432
"Município";"353860";"PIRACAIA";433
"Município";"353870";"PIRACICABA";434
"Município";"353880";"PIRAJU";435
"Município";"353890";"PIRAJUI";436
"Município";"353900";"PIRANGI";437
"Município";"353910";"PIRAPORA DO BOM JESUS";438
"Município";"353920";"PIRAPOZINHO";439
"Município";"353930";"PIRASSUNUNGA";440
"Município";"353940";"PIRATININGA";441
"Município";"353950";"PITANGUEIRAS";442
"Município";"353960";"PLANALTO";443
"Município";"353970";"PLATINA";444
"Município";"353980";"POA";445
"Município";"353990";"POLONI";446
"Município";"354000";"POMPEIA";447
"Município";"354010";"PONGAI";448
"Município";"354020";"PONTAL";449
"Município";"354025";"PONTALINDA";450
"Município";"354030";"PONTES GESTAL";451
"Município";"354040";"POPULINA";452
"Município";"354050";"PORANGABA";453
"Município";"354060";"PORTO FELIZ";454
"Município";"354070";"PORTO FERREIRA";455
"Município";"354075";"POTIM";456
"Município";"354080";"POTIRENDABA";457
"Município";"354085";"PRACINHA";458
"Município";"354090";"PRADOPOLIS";459
"Município";"354100";"PRAIA GRANDE";460
"Município";"354105";"PRATANIA";461
"Município";"354110";"PRESIDENTE ALVES";462
"Município";"354120";"PRESIDENTE BERNARDES";463
"Município";"354130";"PRESIDENTE EPITACIO";464
"Município";"354140";"PRESIDENTE PRUDENTE";465
"Município";"354150";"PRESIDENTE VENCESLAU";466
"Município";"354160";"PROMISSAO";467
"Município";"354165";"QUADRA";468
"Município";"354170";"QUATA";469
"Município";"354180";"QUEIROZ";470
"Município";"354190";"QUELUZ";471
"Município";"354200";"QUINTANA";472
"Município";"354210";"RAFARD";473
"Município";"354220";"RANCHARIA";474
"Município";"354230";"REDENCAO DA SERRA";475
"Município";"354240";"REGENTE FEIJO";476
"Município";"354250";"REGINOPOLIS";477
"Município";"354260";"REGISTRO";478
"Município";"354270";"RESTINGA";479
"Município";"354280";"RIBEIRA";480
"Município";"354290";"RIBEIRAO BONITO";481
"Município";"354300";"RIBEIRAO BRANCO";482
"Município";"354310";"RIBEIRAO CORRENTE";483
"Município";"354320";"RIBEIRAO DO SUL";484
"Município";"354323";"RIBEIRAO DOS INDIOS";485
"Município";"354325";"RIBEIRAO GRANDE";486
"Município";"354330";"RIBEIRAO PIRES";487
"Município";"354340";"RIBEIRAO PRETO";488
"Município";"354350";"RIVERSUL";489
"Município";"354360";"RIFAINA";490
"Município";"354370";"RINCAO";491
"Município";"354380";"RINOPOLIS";492
"Município";"354390";"RIO CLARO";493
"Município";"354400";"RIO DAS PEDRAS";494
"Município";"354410";"RIO GRANDE DA SERRA";495
"Município";"354420";"RIOLANDIA";496
"Município";"354425";"ROSANA";497
"Município";"354430";"ROSEIRA";498
"Município";"354440";"RUBIACEA";499
"Município";"354450";"RUBINEIA";500
"Município";"354460";"SABINO";501
"Município";"354470";"SAGRES";502
"Município";"354480";"SALES";503
"Município";"354490";"SALES OLIVEIRA";504
"Município";"354500";"SALESOPOLIS";505
"Município";"354510";"SALMOURAO";506
"Município";"354515";"SALTINHO";507
"Município";"354520";"SALTO";508
"Município";"354530";"SALTO DE PIRAPORA";509
"Município";"354540";"SALTO GRANDE";510
"Município";"354550";"SANDOVALINA";511
"Município";"354560";"SANTA ADELIA";512
"Município";"354570";"SANTA ALBERTINA";513
"Município";"354580";"SANTA BARBARA DOESTE";514
"Município";"354600";"SANTA BRANCA";515
"Município";"354610";"SANTA CLARA DOESTE";516
"Município";"354620";"SANTA CRUZ DA CONCEICAO";517
"Município";"354625";"SANTA CRUZ DA ESPERANCA";518
"Município";"354630";"SANTA CRUZ DAS PALMEIRAS";519
"Município";"354640";"SANTA CRUZ DO RIO PARDO";520
"Município";"354650";"SANTA ERNESTINA";521
"Município";"354660";"SANTA FE DO SUL";522
"Município";"354670";"SANTA GERTRUDES";523
"Município";"354680";"SANTA ISABEL";524
"Município";"354690";"SANTA LUCIA";525
"Município";"354700";"SANTA MARIA DA SERRA";526
"Município";"354710";"SANTA MERCEDES";527
"Município";"354720";"SANTANA DA PONTE PENSA";528
"Município";"354730";"SANTANA DE PARNAIBA";529
"Município";"354740";"SANTA RITA DOESTE";530
"Município";"354750";"SANTA RITA DO PASSA QUATRO";531
"Município";"354760";"SANTA ROSA DE VITERBO";532
"Município";"354765";"SANTA SALETE";533
"Município";"354770";"SANTO ANASTACIO";534
"Município";"354780";"SANTO ANDRE";535
"Município";"354790";"SANTO ANTONIO DA ALEGRIA";536
"Município";"354800";"SANTO ANTONIO DE POSSE";537
"Município";"354805";"SANTO ANTONIO DO ARACANGUA";538
"Município";"354810";"SANTO ANTONIO DO JARDIM";539
"Município";"354820";"SANTO ANTONIO DO PINHAL";540
"Município";"354830";"SANTO EXPEDITO";541
"Município";"354840";"SANTOPOLIS DO AGUAPEI";542
"Município";"354850";"SANTOS";543
"Município";"354860";"SAO BENTO DO SAPUCAI";544
"Município";"354870";"SAO BERNARDO DO CAMPO";545
"Município";"354880";"SAO CAETANO DO SUL";546
"Município";"354890";"SAO CARLOS";547
"Município";"354900";"SAO FRANCISCO";548
"Município";"354910";"SAO JOAO DA BOA VISTA";549
"Município";"354920";"SAO JOAO DAS DUAS PONTES";550
"Município";"354925";"SAO JOAO DE IRACEMA";551
"Município";"354930";"SAO JOAO DO PAU DALHO";552
"Município";"354940";"SAO JOAQUIM DA BARRA";553
"Município";"354950";"SAO JOSE DA BELA VISTA";554
"Município";"354960";"SAO JOSE DO BARREIRO";555
"Município";"354970";"SAO JOSE DO RIO PARDO";556
"Município";"354980";"SAO JOSE DO RIO PRETO";557
"Município";"354990";"SAO JOSE DOS CAMPOS";558
"Município";"354995";"SAO LOURENCO DA SERRA";559
"Município";"355000";"SAO LUIZ DO PARAITINGA";560
"Município";"355010";"SAO MANUEL";561
"Município";"355020";"SAO MIGUEL ARCANJO";562
