"ANO";"NOME";"Notificacoes_Estupro";"nivel_geografico";"total_72h";"casos_72h";"Oportunidade_72h";"total_pep";"casos_72h_pep";"PEP_72h";"total_contr";"casos_72h_contr";"Contracepção_72h_MIF";"COD_6_mun"
2015;"ITAPOLIS";5;"Município";5;5;100;2;2;100;1;1;100;"352270"
2015;"ITAPORANGA";1;"Município";1;1;100;0;0;0;0;0;0;"352280"
2015;"ITAPUI";1;"Município";1;1;100;0;0;0;0;0;0;"352290"
2015;"ITAQUAQUECETUBA";34;"Município";34;31;91,18;12;11;91,67;4;4;100;"352310"
2015;"ITARIRI";1;"Município";1;1;100;0;0;0;0;0;0;"352330"
2015;"ITATIBA";22;"Município";22;16;72,73;8;8;100;4;4;100;"352340"
2015;"ITATINGA";2;"Município";2;2;100;1;1;100;0;0;0;"352350"
2015;"ITOBI";1;"Município";1;1;100;1;1;100;1;1;100;"352380"
2015;"ITU";2;"Município";2;1;50;0;0;0;0;0;0;"352390"
2015;"ITUPEVA";6;"Município";6;6;100;4;4;100;4;4;100;"352400"
2015;"JABOTICABAL";3;"Município";3;3;100;3;3;100;1;1;100;"352430"
2015;"JACAREI";30;"Município";30;24;80;5;5;100;2;2;100;"352440"
2015;"JAGUARIUNA";8;"Município";8;7;87,5;4;4;100;2;2;100;"352470"
2015;"JALES";3;"Município";3;2;66,67;2;2;100;1;1;100;"352480"
2015;"JANDIRA";3;"Município";3;3;100;0;0;0;0;0;0;"352500"
2015;"JARDINOPOLIS";8;"Município";8;7;87,5;5;5;100;3;3;100;"352510"
2015;"JARINU";3;"Município";3;3;100;1;1;100;0;0;0;"352520"
2015;"JAU";2;"Município";2;1;50;0;0;0;0;0;0;"352530"
2015;"JOANOPOLIS";1;"Município";1;1;100;0;0;0;0;0;0;"352550"
2015;"JOSE BONIFACIO";2;"Município";2;2;100;2;2;100;1;1;100;"352570"
2015;"JULIO MESQUITA";1;"Município";1;1;100;1;1;100;1;1;100;"352580"
2015;"JUNDIAI";70;"Município";70;65;92,86;19;19;100;11;11;100;"352590"
2015;"JUNQUEIROPOLIS";1;"Município";1;0;0;0;0;0;0;0;0;"352600"
2015;"JUQUIA";2;"Município";2;2;100;2;2;100;1;1;100;"352610"
2015;"JUQUITIBA";5;"Município";5;4;80;1;1;100;1;1;100;"352620"
2015;"LARANJAL PAULISTA";1;"Município";1;1;100;1;1;100;0;0;0;"352640"
2015;"LEME";8;"Município";8;7;87,5;3;3;100;1;1;100;"352670"
2015;"LENCOIS PAULISTA";2;"Município";2;2;100;2;2;100;0;0;0;"352680"
2015;"LIMEIRA";10;"Município";10;9;90;7;7;100;3;3;100;"352690"
2015;"LINDOIA";1;"Município";1;1;100;0;0;0;0;0;0;"352700"
2015;"LINS";16;"Município";16;15;93,75;9;9;100;4;4;100;"352710"
2015;"LORENA";1;"Município";1;1;100;0;0;0;0;0;0;"352720"
2015;"LOUVEIRA";4;"Município";4;4;100;3;3;100;2;2;100;"352730"
2015;"LUIS ANTONIO";2;"Município";2;2;100;2;2;100;1;1;100;"352760"
